表名,估算行数
"BKTBLEMSEQUIPMENTSTATE","0"
"BKTBLOEMOBASIS","0"
"BKTBLOEROBASIS","0"
"BKTBLOERODETAIL","0"
"BKTBLWIPABNORMALSTATE","0"
"BKTBLWIPAUTOMERGE","0"
"BKTBLWIPCOMPONENTPROPERTY","0"
"BKTBLWIPCOMPONENTSTATE","0"
"BKTBLWIPERFCREATEDATA","0"
"BKTBLWIPFUTUREHOLD","0"
"BKTBLWIPFUTUREHOLDREASON","0"
"BKTBLWIPFUTUREOS","0"
"BKTBLWIPFUTUREWAIT","0"
"BKTBLWIPGOODBINSTATE","0"
"BKTBLWIPLOTBASIS","0"
"BKTBLWIPLOTECNATTRIB","0"
"BKTBLWIPLOTOPAREA","0"
"BKTBLWIPLOTPROCESS","0"
"BKTBLWIPLOTPROPERTY","0"
"BKTBLWIPLOTSTATE","0"
"BKTBLWIPOPGROUPSTATE","0"
"BKTBLWIPTEMP_ATTRIB","0"
"BKTBLWIPTEMP_COMPONENTATTRIB","0"
"BKTBLWIPTEMP_EQUIPMENT","0"
"BKTBLWIPTEMP_LOTSTATE","0"
"BKTBLWIPTEMP_MATERIAL","0"
"BKTBLWIPTEMP_QCITEM","0"
"BKTBLWIPTEMP_SAMPLEBIN","0"
"CHARTTEST","0"
"CumulativeYieldResult","1"
"dingtalk_plan","173"
"EasilySampleBuild","0"
"eqx_tblitemotlog_day","0"
"eqx_tblitemotlog_now","0"
"esb_iqc_receipt_outbox","1"
"FC_QCFORMCALLBACKITEMMAP","0"
"FLOWCODE","0"
"IF_EQUIPMENTRECIPE","0"
"InspectionSpecificationExportQueryResult","0"
"INVFAKEBASIC","0"
"JS_SHUCAI","413471303"
"JS_SHUCAI_POINT_META","159"
"JS_SHUCAILOG","0"
"MAINGROUPUSER","0"
"MESSAGEUSER","0"
"MSAGRRparameter","24"
"QCI06005_Item","0"
"QCI06005_Result","0"
"QCITEMFORATTRIBUTES","0"
"RULERULE","0"
"shucai","1009"
"shucai_snapshot","476"
"shucaibasis","840"
"shucailog","481495272"
"SPCCOAREPORT","0"
"SYSMESPARAMETER","0"
"TBL_FABPRDEXPENERGYVALUE","0"
"TBL_FABPRDEXPENERGYVALUELOG","0"
"TBL_FABPRDPACKINGRULE","0"
"TBL_FABPRSSTAGEBASIS","0"
"TBL_NBWIPLOTINOUTLOG","0"
"TBL_NBWIPOPOUTPUTSUMMARY","0"
"TBL_NBWIPREPAIRDETAIL","0"
"TBL_NBWIPREPAIRLOG","0"
"TBL_PRD_PRODUCT_OP_EQP","0"
"TBL_ProjSchedule","0"
"TBL_UNITWIPCONT_ASSEMBLY","0"
"TBLABDCAR_CONTAINMENTPOLICY","0"
"TBLABDCAR_DISPOSITION","0"
"TBLABDCAR_EVIDENCE","0"
"TBLABDCAR_PHRASECONSERVATION","3"
"TBLABDCAR_PREVENTACTION","0"
"TBLABDCAR_ROOTCAUSE","0"
"TBLABDCAR_ROOTCAUSEFILE","0"
"TBLABDCAR_TEAMUSER","0"
"TBLABDCARBASIS","0"
"TBLABDCARBASIS_Add","0"
"TBLABDCARBASISFILE","0"
"TBLABDPREVENTUPDITEM","6"
"tblACCChangeTime","0"
"TBLACCPMITEM","0"
"TBLACCPMPLANBASIS","0"
"TBLACCPMPLANDETAIL","0"
"TBLACCREASONBASIS","1"
"tblACCRegularPMPlanBasis","0"
"tblACCRegularPMPlanDetail","0"
"TBLACCREPAIRITEM","0"
"TBLAPSCALENDARDATA","0"
"TBLAPSDISPATCHACCESSORY","0"
"TBLAPSDISPATCHOPDATA","0"
"TBLAPSDISPATCHSTATEDATA","0"
"TBLAPSEQPOFFTIME","0"
"tblAreaCommissioner","0"
"tblAreaInspector","4"
"TBLCALEQUIPMENTBASIS","0"
"TBLCALEQUIPMENTBASIS_ATT","0"
"TBLCOLUMNNAME","0"
"TBLCTLCONTROLPLANBASIS","0"
"TBLCTLCONTROLPLANQCITEMMAP","0"
"TBLCTLCPQCITEMDETAILMAP","0"
"TBLCUSCURINVQTYLOG","232"
"TBLCUSEQPDailyOutput","744"
"TBLCUSEQUIPMENTSTATE_AUDIT","121449"
"TBLCusInvbasis","3"
"TBLCusInvlog","4"
"tblCUSoemomaterialstatelog","2683"
"tblCUSrebindsource","752"
"TBLCusSalaryBasis","1676"
"TBLCUSUSERSFAVOURITEEQP","3"
"TBLCUSWIPPicture","6055"
"TBLDAQASSYDATA","0"
"TBLDAQDIPDATA","0"
"TBLDAQEXCEPTION","0"
"TBLDAQSMTDATA","0"
"tblDataManagerList","37"
"TBLDTAREA","0"
"TBLDTBASIS","0"
"TBLDTGWBASIS","0"
"TBLDTHOSTBASIS","0"
"TBLDTHOSTBASIS_ATTACHFILE","0"
"TBLDTHOSTPARAMETER","0"
"TBLDTTCPIPDTBASIS","0"
"TBLEIPAUTORUNSET","0"
"TBLEIPSetting","0"
"TBLEIPTableMap","0"
"TBLEMSACCCONTENT_PM","0"
"tblEMSACCContent_Repair","0"
"TBLEMSACCESSORYREPAIR","0"
"TBLEMSACCESSORYSTATE","0"
"TBLEMSACCESSORYSTATELOG","0"
"tblEMSAccessoryStateReason","0"
"TBLEMSACCLOG_PM","0"
"tblEMSACCLog_Repair","0"
"TBLEMSACCPMSTATE","0"
"tblEMSACCRegularPMLog","0"
"tblEMSACCRegularPMLogDetail","0"
"tblEMSACCRegularPMState","0"
"tblEMSACCSubstitutionUsed","0"
"TBLEMSACCVIOLATESTATUSCHANGE","0"
"TBLEMSACCVIOLATESTATUSXML_CLOB","0"
"tblEMSCombineACCLog","0"
"TBLEMSCOMBINEACCSTATE","0"
"TBLEMSDISPATCHBASIS","0"
"TBLEMSDISPATCHCUTINLOT","0"
"TBLEMSDISPATCHFACTOR","0"
"TBLEMSDISPATCHSTATE","0"
"TBLEMSEQPACCSTATE","0"
"TBLEMSEQPACCSTATELOG","0"
"TBLEMSEQPCAPABILITYSTATUS","0"
"TBLEMSEQPCAPBASIS","0"
"TBLEMSEQPCAPMAPPING","0"
"tblEMSEQPEventReport","0"
"TBLEMSEQPMATERIALSTATE","0"
"TBLEMSEQPMATERIALSTATE_COMP","0"
"TBLEMSEQUIPMENTQCLOG","0"
