表名,模块,估算行数
"AAI_AABizType","AAI","103"
"AAI_AABizType_Trl","AAI","128"
"AAI_AABizTypeSet","AAI","158"
"AAI_AAISrcDocTypeEntity","AAI","80"
"AAI_AAISrcDocTypeEntity_Trl","AAI","80"
"AAI_AccountTemplate","AAI","12883"
"AAI_CreateTransEntryLog","AAI","518767"
"AAI_CreatFromPredeterminedTempletLog","AAI","374"
"AAI_DeleteVoucherLog","AAI","46510"
"AAI_Factor","AAI","372"
"AAI_Factor_Trl","AAI","372"
"AAI_FactorDataSource","AAI","4290"
"AAI_FactorDataSource_Trl","AAI","90"
"AAI_MergeCondition","AAI","0"
"AAI_PAFactor","AAI","109"
"AAI_PredeterminedAccount","AAI","169"
"AAI_PredeterminedAccount_Trl","AAI","172"
"AAI_PreTempletContrast","AAI","250"
"AAI_TransactionEntry","AAI","12367719"
"AAI_TransactionEntry_Trl","AAI","112974594"
"AAI_TransEntryBody","AAI","0"
"AAI_TransEntryBody_Trl","AAI","0"
"AAI_TransEntryExceptionInfo","AAI","80412"
"AAI_TransEntryHead","AAI","3585099"
"AAI_TransEntryHead_Trl","AAI","3585099"
"AAI_TransEntryHeadTemplet","AAI","3822"
"AAI_TransEntryHeadTemplet_Trl","AAI","3852"
"AAI_TransEntryMemoBook","AAI","0"
"AAI_TransEntryMemoBook_Trl","AAI","0"
"AAI_TransEntryTemplet","AAI","24416"
"AAI_TransEntryTemplet_Trl","AAI","24311"
"AAI_TransVoucherToGLlog","AAI","3531247"
"AB_ABImpropriateRecord","AB","0"
"AB_BudgetControlData","AB","0"
"AB_BudgetControlIndexData","AB","0"
"AB_BudgetControlObject","AB","0"
"AB_BudgetControlObject_Trl","AB","0"
"AB_BudgetControlObjectDetail","AB","0"
"AB_BudgetControlObjectMapData","AB","0"
"AB_BudgetControlPeriod","AB","0"
"AB_BudgetControlScheme","AB","0"
"AB_BudgetControlScheme_Trl","AB","0"
"AB_BudgetDocEncumbData","AB","0"
"AB_BudgetEncumbData","AB","0"
"AB_BudgetEncumbDetail","AB","0"
"AB_BudgetEncumbDetail_Trl","AB","0"
"AB_BudgetEncumbExeInterface","AB","0"
"AB_BudgetEncumbVoucher","AB","0"
"AB_BudgetEncumbVoucher_Trl","AB","0"
"AB_BudgetEncumbVoucherDetail","AB","0"
"AB_BudgetEncumbVoucherType","AB","20"
"AB_BudgetEncumbVoucherType_Trl","AB","42"
"AB_BudgetExecuteData","AB","0"
