日期,记录数,设备数,投入,产出
"2026-06-16","1","1","250","250"
"2026-06-23","1","1","500","500"
"2026-06-24","3","3","11100","8859"
"2026-06-26","2","2","20400","7389"
"2026-06-29","4","4","21200","21200"
"2026-07-02","10","5","2220","2220"
"2026-07-03","5","1","700","700"
"2026-07-05","4","1","517","517"
"2026-07-06","7","1","560","560"
"2026-07-07","2","2","15000","15000"
"2026-07-08","50","5","10283","10283"
"2026-07-09","71","3","6817","6817"
"2026-07-10","30","4","3956","3956"
"2026-07-11","20","5","6488","2826"
"2026-07-13","14","2","990","990"
"2026-07-14","17","4","5660","5660"
"2026-07-15","14","2","1028","1028"
"2026-07-16","41","3","3246","3246"
"2026-07-17","27","7","10312","10312"
"2026-07-18","44","4","3297","3297"
"2026-07-19","21","4","1578","1578"
"2026-07-20","46","4","7161","7081"
"2026-07-21","39","5","3040","3040"
"2026-07-22","27","6","9328","9328"
"2026-07-23","3","3","8740","8740"
"2026-07-24","18","6","26970","26970"
"2026-07-25","20","2","2754","2754"
"2026-07-26","17","2","2334","2334"
"2026-07-27","22","5","30720","30720"
"2026-07-28","20","6","2720","2720"
"2026-07-29","18","3","5580","5580"
"2026-07-30","267","6","29054","29054"
"2026-07-31","17","2","2380","2380"
"2026-08-01","11","2","1540","1540"
"2026-08-02","1","1","140","140"
"2026-08-03","27","8","71810","71810"
"2026-08-04","25","8","18600","18600"
"2026-08-05","16","4","2842","2842"
"2026-08-06","9","6","2736","2736"
"2026-08-07","21","7","6698","6698"
"2026-08-08","14","3","1638","1638"
"2026-08-09","3","2","3766","3766"
"2026-08-10","13","3","5166","5166"
"2026-08-11","18","5","35100","23475"
"2026-08-12","19","4","9290","9290"
"2026-08-13","17","4","7621","7530"
"2026-08-14","19","6","24273","22953"
"2026-08-15","39","7","24969","20354"
"2026-08-17","41","7","3907","3907"
"2026-08-18","26","5","2894","2894"
"2026-08-19","38","5","3838","3838"
"2026-08-20","37","7","5509","5349"
"2026-08-21","36","7","4557","4557"
"2026-08-22","12","5","2398","1798"
